id_contrato,numero_contrato,id_fornecedor,tipo_contrato,descricao_escopo,valor_total,moeda,data_inicio,data_fim,status,unidade_industrial,area_responsavel,documento_contrato,procedimento_referencia
CTR-00015,CT-2024-00015,FORN-0009,Contratação de Serviços de Inspeção,"Fornecimento de gases industriais (nitrogênio, oxigênio, hidrogênio)",1783852.41,BRL,2024-03-08,2026-03-08,Em Renovação,Polo Petroquímico de Lagoa das Águas,Engenharia de Processos,CONTRATO_CT-2024-00015.pdf,PROC-MNT-002_Procedimento_Parada_Programada.pdf
CTR-00016,CT-2024-00016,FORN-0044,Contratação de Serviços de Inspeção,Isolamento térmico de tubulações de vapor e linhas de processo,4802092.28,BRL,2024-05-09,2026-05-09,Ativo,Polo Petroquímico de Fagundes Verde,Qualidade e Laboratório,CONTRATO_CT-2024-00016.pdf,PROC-LOG-001_Transporte_Produtos_Perigosos.pdf
CTR-00017,CT-2021-00017,FORN-0020,Contratação de Serviços de Inspeção,Projeto e fabricação de vasos de pressão conforme NR-13,5322554.45,BRL,2021-07-11,2023-01-07,Em Renovação,Polo Petroquímico de Lagoa das Águas,Engenharia de Processos,CONTRATO_CT-2021-00017.pdf,PROC-MNT-003_Gestao_Sobressalentes.pdf
CTR-00018,CT-2022-00018,FORN-0054,Contratação de Serviços Ambientais,Montagem eletromecânica para expansão da unidade de PVC,2323312.04,BRL,2022-05-30,2022-08-28,Em Renovação,Polo Petroquímico de Santa Grande,Qualidade e Laboratório,CONTRATO_CT-2022-00018.pdf,PROC-ENG-001_Gestao_Mudancas_MOC.pdf
CTR-00019,CT-2023-00019,FORN-0068,Contratação de Serviços Ambientais,Fornecimento de válvulas de controle e segurança para unidades de polimerização,140881.72,BRL,2023-05-12,2023-08-10,Ativo,Unidade Lagoa Branca,Utilidades e Energia,CONTRATO_CT-2023-00019.pdf,PROC-SMS-005_Manuseio_Produtos_Quimicos.pdf
CTR-00020,CT-2021-00020,FORN-0099,Contratação de Serviços de Inspeção,Projeto e fabricação de vasos de pressão conforme NR-13,141220.86,BRL,2021-11-02,2022-01-31,Suspenso,Polo Petroquímico de Fagundes Verde,Logística e Suprimentos,CONTRATO_CT-2021-00020.pdf,PROC-ENG-002_Comissionamento_Startup.pdf
CTR-00021,CT-2023-00021,FORN-0023,Contratação de Serviços de Inspeção,Limpeza química e hidrojateamento de permutadores e reatores,6465105.48,BRL,2023-02-18,2026-02-17,Suspenso,Unidade Lagoa Branca,Projetos e Expansão,CONTRATO_CT-2023-00021.pdf,PROC-SMS-002_Bloqueio_Etiquetagem_LOTO.pdf
CTR-00022,CT-2025-00022,FORN-0095,Contratação de Serviços de Manutenção,"Fornecimento de juntas, gaxetas e vedações para equipamentos rotativos",6907911.31,BRL,2025-03-01,2025-05-30,Suspenso,Polo Petroquímico de Lagoa das Águas,Planejamento e Controle de Manutenção (PCM),CONTRATO_CT-2025-00022.pdf,PROC-QLD-002_Especificacao_Tecnica_Materiais.pdf
CTR-00023,CT-2020-00023,FORN-0074,Serviços de Construção e Montagem,Manutenção preditiva com análise de vibração e termografia,508677.07,BRL,2020-08-23,2022-02-19,Ativo,Complexo Petroquímico de Córrego Fagundes (SUAPE),Logística e Suprimentos,CONTRATO_CT-2020-00023.pdf,PROC-MNT-001_Plano_Manutencao_Preventiva.pdf
CTR-00024,CT-2022-00024,FORN-0080,Serviços de Automação e Instrumentação,Manutenção preditiva com análise de vibração e termografia,2007066.48,BRL,2022-06-13,2022-09-11,Suspenso,Unidade Industrial Várzea Arlindo,Engenharia de Processos,CONTRATO_CT-2022-00024.pdf,PROC-QLD-002_Especificacao_Tecnica_Materiais.pdf
CTR-00025,CT-2021-00025,FORN-0068,Fornecimento de Materiais e Equipamentos,Limpeza química e hidrojateamento de permutadores e reatores,3906633.45,BRL,2021-03-29,2022-03-29,Em Aprovação,Polo Petroquímico de Fagundes Verde,Qualidade e Laboratório,CONTRATO_CT-2021-00025.pdf,PROC-SMS-002_Bloqueio_Etiquetagem_LOTO.pdf
CTR-00026,CT-2021-00026,FORN-0082,Fornecimento de Materiais e Equipamentos,Manutenção de sistemas elétricos e subestações de média tensão,4793205.58,BRL,2021-12-20,2024-12-19,Ativo,Unidade Lagoa Branca,Qualidade e Laboratório,CONTRATO_CT-2021-00026.pdf,PROC-ENG-001_Gestao_Mudancas_MOC.pdf
CTR-00027,CT-2020-00027,FORN-0031,Fornecimento de Materiais e Equipamentos,Tratamento de efluentes industriais e gestão de resíduos sólidos,806705.46,BRL,2020-12-21,2022-12-21,Ativo,Polo Petroquímico de Fagundes Verde,Operações de Planta,CONTRATO_CT-2020-00027.pdf,PROC-AMB-001_Gestao_Residuos_Industriais.pdf
CTR-00028,CT-2023-00028,FORN-0023,Serviços de Automação e Instrumentação,Serviço de soldagem especializada (TIG/MIG) em aços inox e ligas especiais,7893333.03,BRL,2023-08-09,2026-08-08,Encerrado,Unidade Industrial Ribeirão das Águas,Automação e Instrumentação,CONTRATO_CT-2023-00028.pdf,PROC-MNT-001_Plano_Manutencao_Preventiva.pdf
CTR-00029,CT-2023-00029,FORN-0020,Serviços de Automação e Instrumentação,Inspeção e ensaios não destrutivos (END) em vasos de pressão e tubulações,6386931.06,BRL,2023-07-17,2024-07-16,Ativo,Unidade Industrial Ribeirão das Águas,Planejamento e Controle de Manutenção (PCM),CONTRATO_CT-2023-00029.pdf,PROC-QLD-002_Especificacao_Tecnica_Materiais.pdf
CTR-00030,CT-2022-00030,FORN-0046,Contratação de Transporte e Logística,Inspeção e ensaios não destrutivos (END) em vasos de pressão e tubulações,264981.15,BRL,2022-07-14,2022-10-12,Encerrado,Polo Petroquímico de Fagundes Verde,Planejamento e Controle de Manutenção (PCM),CONTRATO_CT-2022-00030.pdf,PROC-AMB-002_Monitoramento_Emissoes.pdf
CTR-00031,CT-2023-00031,FORN-0010,Fornecimento de Materiais e Equipamentos,Serviços de andaime e acesso para paradas programadas de manutenção,4773445.81,BRL,2023-04-03,2025-04-02,Ativo,Complexo Petroquímico de Córrego Fagundes (SUAPE),Planejamento e Controle de Manutenção (PCM),CONTRATO_CT-2023-00031.pdf,PROC-ENG-002_Comissionamento_Startup.pdf
CTR-00032,CT-2023-00032,FORN-0058,Serviços de Calibração e Ensaios,Inspeção baseada em risco (IBR) de equipamentos estáticos,4050829.03,BRL,2023-05-24,2024-11-19,Em Renovação,Unidade Lagoa Branca,Qualidade e Laboratório,CONTRATO_CT-2023-00032.pdf,PROC-SMS-001_Permissao_Trabalho_Quente.pdf
CTR-00033,CT-2023-00033,FORN-0014,Fornecimento de Produtos Químicos,Manutenção preditiva com análise de vibração e termografia,243753.52,BRL,2023-08-16,2024-02-12,Em Renovação,Polo Petroquímico de Santa Grande,Projetos e Expansão,CONTRATO_CT-2023-00033.pdf,PROC-ENG-002_Comissionamento_Startup.pdf
CTR-00034,CT-2022-00034,FORN-0057,Contratação de Transporte e Logística,Manutenção de sistemas elétricos e subestações de média tensão,1223508.02,BRL,2022-02-02,2023-02-02,Encerrado,Complexo Industrial de Monte Teodoro,Qualidade e Laboratório,CONTRATO_CT-2022-00034.pdf,PROC-AMB-001_Gestao_Residuos_Industriais.pdf
CTR-00035,CT-2021-00035,FORN-0087,Serviços de Calibração e Ensaios,Fornecimento de válvulas de controle e segurança para unidades de polimerização,4499068.64,BRL,2021-11-06,2022-02-04,Encerrado,Unidade Industrial Várzea Arlindo,Engenharia de Processos,CONTRATO_CT-2021-00035.pdf,PROC-MNT-002_Procedimento_Parada_Programada.pdf
CTR-00036,CT-2023-00036,FORN-0033,Serviços de Calibração e Ensaios,Tratamento de efluentes industriais e gestão de resíduos sólidos,1200112.77,BRL,2023-04-08,2026-04-07,Encerrado,Unidade Industrial Várzea Arlindo,Engenharia de Processos,CONTRATO_CT-2023-00036.pdf,PROC-MNT-001_Plano_Manutencao_Preventiva.pdf
CTR-00037,CT-2023-00037,FORN-0084,Serviços de Construção e Montagem,Tratamento de efluentes industriais e gestão de resíduos sólidos,9723700.3,BRL,2023-02-18,2024-08-16,Ativo,Polo Petroquímico de Santa Grande,Logística e Suprimentos,CONTRATO_CT-2023-00037.pdf,PROC-MNT-001_Plano_Manutencao_Preventiva.pdf
CTR-00038,CT-2022-00038,FORN-0086,Contratação de Transporte e Logística,Inspeção e ensaios não destrutivos (END) em vasos de pressão e tubulações,1151533.24,BRL,2022-01-11,2022-04-11,Ativo,Complexo Petroquímico de Córrego Fagundes (SUAPE),Projetos e Expansão,CONTRATO_CT-2022-00038.pdf,PROC-SMS-003_Trabalho_em_Altura.pdf
CTR-00039,CT-2020-00039,FORN-0044,Serviços de Automação e Instrumentação,Montagem eletromecânica para expansão da unidade de PVC,2422673.45,BRL,2020-11-13,2021-02-11,Ativo,Unidade Lagoa Branca,Segurança e Meio Ambiente (SMS),CONTRATO_CT-2020-00039.pdf,PROC-AMB-001_Gestao_Residuos_Industriais.pdf
CTR-00040,CT-2024-00040,FORN-0065,Contratação de Transporte e Logística,"Fornecimento de gases industriais (nitrogênio, oxigênio, hidrogênio)",480042.22,BRL,2024-11-29,2026-11-29,Ativo,Polo Petroquímico de Lagoa das Águas,Qualidade e Laboratório,CONTRATO_CT-2024-00040.pdf,PROC-MNT-002_Procedimento_Parada_Programada.pdf
CTR-00041,CT-2020-00041,FORN-0021,Contratação de Serviços de Inspeção,Manutenção preditiva com análise de vibração e termografia,2965251.36,BRL,2020-03-30,2021-09-26,Ativo,Complexo Industrial de Monte Teodoro,Planejamento e Controle de Manutenção (PCM),CONTRATO_CT-2020-00041.pdf,PROC-ENG-002_Comissionamento_Startup.pdf
CTR-00042,CT-2022-00042,FORN-0057,Serviços de Calibração e Ensaios,Manutenção de compressores e sistemas de refrigeração industrial,2530985.74,BRL,2022-12-29,2023-06-27,Em Renovação,Unidade Industrial Ribeirão das Águas,Operações de Planta,CONTRATO_CT-2022-00042.pdf,PROC-AMB-001_Gestao_Residuos_Industriais.pdf
CTR-00043,CT-2024-00043,FORN-0025,Fornecimento de Produtos Químicos,Fornecimento de filtros industriais para sistemas de ar e água,3901713.98,BRL,2024-04-24,2025-04-24,Em Aprovação,Unidade Industrial Ribeirão das Águas,Planejamento e Controle de Manutenção (PCM),CONTRATO_CT-2024-00043.pdf,PROC-QLD-001_Controle_Qualidade_Resinas.pdf
CTR-00044,CT-2020-00044,FORN-0054,Contratação de Serviços de Inspeção,Montagem eletromecânica para expansão da unidade de PVC,3886277.99,BRL,2020-04-16,2023-04-16,Em Aprovação,Complexo Industrial de Monte Teodoro,Logística e Suprimentos,CONTRATO_CT-2020-00044.pdf,PROC-MNT-001_Plano_Manutencao_Preventiva.pdf
CTR-00045,CT-2024-00045,FORN-0014,Contratação de Transporte e Logística,Projeto e instalação de sistema de automação para planta de polietileno,891094.77,BRL,2024-04-11,2024-10-08,Em Aprovação,Polo Petroquímico de Fagundes Verde,Engenharia de Processos,CONTRATO_CT-2024-00045.pdf,PROC-LOG-001_Transporte_Produtos_Perigosos.pdf
CTR-00046,CT-2024-00046,FORN-0019,Serviços de Construção e Montagem,Inspeção e ensaios não destrutivos (END) em vasos de pressão e tubulações,13970984.52,BRL,2024-12-16,2025-12-16,Ativo,Unidade Lagoa Branca,Planejamento e Controle de Manutenção (PCM),CONTRATO_CT-2024-00046.pdf,PROC-MNT-002_Procedimento_Parada_Programada.pdf
CTR-00047,CT-2020-00047,FORN-0051,Contratação de Transporte e Logística,Isolamento térmico de tubulações de vapor e linhas de processo,751162.4,BRL,2020-06-16,2021-06-16,Ativo,Unidade Lagoa Branca,Utilidades e Energia,CONTRATO_CT-2020-00047.pdf,PROC-MNT-001_Plano_Manutencao_Preventiva.pdf
CTR-00048,CT-2021-00048,FORN-0092,Fornecimento de Produtos Químicos,Tratamento de efluentes industriais e gestão de resíduos sólidos,3495556.34,BRL,2021-08-10,2023-02-06,Em Renovação,Complexo Industrial de Monte Teodoro,Manutenção Industrial,CONTRATO_CT-2021-00048.pdf,PROC-SMS-003_Trabalho_em_Altura.pdf
CTR-00049,CT-2021-00049,FORN-0058,Serviços de Calibração e Ensaios,Manutenção preventiva e corretiva de trocadores de calor e torres de resfriamento,6692907.75,BRL,2021-06-08,2021-12-05,Em Aprovação,Polo Petroquímico de Santa Grande,Manutenção Industrial,CONTRATO_CT-2021-00049.pdf,PROC-QLD-001_Controle_Qualidade_Resinas.pdf
CTR-00050,CT-2021-00050,FORN-0055,Fornecimento de Materiais e Equipamentos,Projeto e fabricação de vasos de pressão conforme NR-13,286359.76,BRL,2021-09-08,2021-12-07,Em Renovação,Polo Petroquímico de Fagundes Verde,Operações de Planta,CONTRATO_CT-2021-00050.pdf,PROC-MNT-002_Procedimento_Parada_Programada.pdf
CTR-00051,CT-2023-00051,FORN-0009,Fornecimento de Materiais e Equipamentos,Instalação e comissionamento de analisadores de processo online,3606794.42,BRL,2023-03-23,2023-09-19,Suspenso,Polo Petroquímico de Lagoa das Águas,Projetos e Expansão,CONTRATO_CT-2023-00051.pdf,PROC-SMS-005_Manuseio_Produtos_Quimicos.pdf
CTR-00052,CT-2022-00052,FORN-0001,Serviços de Calibração e Ensaios,Isolamento térmico de tubulações de vapor e linhas de processo,5341820.71,BRL,2022-05-03,2022-10-30,Em Aprovação,Unidade Lagoa Branca,Automação e Instrumentação,CONTRATO_CT-2022-00052.pdf,PROC-SMS-002_Bloqueio_Etiquetagem_LOTO.pdf
CTR-00053,CT-2024-00053,FORN-0047,Fornecimento de Materiais e Equipamentos,Manutenção de sistemas elétricos e subestações de média tensão,265495.4,BRL,2024-11-23,2026-05-22,Encerrado,Polo Petroquímico de Lagoa das Águas,Utilidades e Energia,CONTRATO_CT-2024-00053.pdf,PROC-MNT-002_Procedimento_Parada_Programada.pdf
CTR-00054,CT-2021-00054,FORN-0033,Contratação de Serviços de Manutenção,Isolamento térmico de tubulações de vapor e linhas de processo,5284266.85,BRL,2021-05-08,2024-05-07,Encerrado,Polo Petroquímico de Santa Grande,Qualidade e Laboratório,CONTRATO_CT-2021-00054.pdf,PROC-SMS-002_Bloqueio_Etiquetagem_LOTO.pdf
CTR-00055,CT-2024-00055,FORN-0018,Contratação de Serviços de Manutenção,Isolamento térmico de tubulações de vapor e linhas de processo,3759813.37,BRL,2024-08-27,2027-08-27,Em Renovação,Unidade Industrial Várzea Arlindo,Segurança e Meio Ambiente (SMS),CONTRATO_CT-2024-00055.pdf,PROC-ENG-002_Comissionamento_Startup.pdf
CTR-00056,CT-2020-00056,FORN-0081,Contratação de Serviços de Inspeção,Tratamento de efluentes industriais e gestão de resíduos sólidos,1676600.66,BRL,2020-03-16,2021-03-16,Ativo,Polo Petroquímico de Santa Grande,Planejamento e Controle de Manutenção (PCM),CONTRATO_CT-2020-00056.pdf,PROC-AMB-001_Gestao_Residuos_Industriais.pdf
CTR-00057,CT-2022-00057,FORN-0006,Fornecimento de Produtos Químicos,Manutenção de compressores e sistemas de refrigeração industrial,231272.82,BRL,2022-08-27,2023-08-27,Ativo,Complexo Petroquímico de Córrego Fagundes (SUAPE),Projetos e Expansão,CONTRATO_CT-2022-00057.pdf,PROC-ENG-001_Gestao_Mudancas_MOC.pdf
CTR-00058,CT-2021-00058,FORN-0037,Fornecimento de Produtos Químicos,Projeto e fabricação de vasos de pressão conforme NR-13,4006744.94,BRL,2021-07-13,2021-10-11,Suspenso,Polo Petroquímico de Lagoa das Águas,Qualidade e Laboratório,CONTRATO_CT-2021-00058.pdf,PROC-MNT-002_Procedimento_Parada_Programada.pdf
CTR-00059,CT-2022-00059,FORN-0096,Serviços de Automação e Instrumentação,Limpeza química e hidrojateamento de permutadores e reatores,4020385.27,BRL,2022-10-13,2025-10-12,Em Aprovação,Unidade Industrial Várzea Arlindo,Segurança e Meio Ambiente (SMS),CONTRATO_CT-2022-00059.pdf,PROC-LOG-001_Transporte_Produtos_Perigosos.pdf
CTR-00060,CT-2022-00060,FORN-0035,Fornecimento de Materiais e Equipamentos,"Fornecimento de gases industriais (nitrogênio, oxigênio, hidrogênio)",4975735.92,BRL,2022-05-31,2024-05-30,Em Aprovação,Complexo Petroquímico de Córrego Fagundes (SUAPE),Engenharia de Processos,CONTRATO_CT-2022-00060.pdf,PROC-SMS-003_Trabalho_em_Altura.pdf
CTR-00061,CT-2023-00061,FORN-0038,Fornecimento de Produtos Químicos,Projeto e instalação de sistema de automação para planta de polietileno,1567154.49,BRL,2023-09-15,2024-09-14,Suspenso,Polo Petroquímico de Santa Grande,Qualidade e Laboratório,CONTRATO_CT-2023-00061.pdf,PROC-QLD-002_Especificacao_Tecnica_Materiais.pdf
CTR-00062,CT-2024-00062,FORN-0022,Serviços de Automação e Instrumentação,Isolamento térmico de tubulações de vapor e linhas de processo,4949623.74,BRL,2024-01-28,2025-01-27,Encerrado,Unidade Industrial Ribeirão das Águas,Manutenção Industrial,CONTRATO_CT-2024-00062.pdf,PROC-MNT-002_Procedimento_Parada_Programada.pdf
CTR-00063,CT-2022-00063,FORN-0082,Contratação de Serviços de Manutenção,Inspeção e ensaios não destrutivos (END) em vasos de pressão e tubulações,5460932.01,BRL,2022-11-16,2025-11-15,Ativo,Complexo Petroquímico de Córrego Fagundes (SUAPE),Qualidade e Laboratório,CONTRATO_CT-2022-00063.pdf,PROC-SMS-001_Permissao_Trabalho_Quente.pdf
CTR-00064,CT-2021-00064,FORN-0078,Serviços de Automação e Instrumentação,Fornecimento de válvulas de controle e segurança para unidades de polimerização,2981321.51,BRL,2021-04-28,2024-04-27,Ativo,Complexo Industrial de Monte Teodoro,Engenharia de Processos,CONTRATO_CT-2021-00064.pdf,PROC-MNT-002_Procedimento_Parada_Programada.pdf
CTR-00065,CT-2022-00065,FORN-0078,Contratação de Serviços de Inspeção,Fornecimento de filtros industriais para sistemas de ar e água,6123629.02,BRL,2022-01-31,2023-07-30,Ativo,Unidade Industrial Ribeirão das Águas,Qualidade e Laboratório,CONTRATO_CT-2022-00065.pdf,PROC-QLD-002_Especificacao_Tecnica_Materiais.pdf
CTR-00066,CT-2021-00066,FORN-0068,Fornecimento de Produtos Químicos,Limpeza química e hidrojateamento de permutadores e reatores,178271.04,BRL,2021-05-26,2021-08-24,Em Renovação,Unidade Industrial Várzea Arlindo,Logística e Suprimentos,CONTRATO_CT-2021-00066.pdf,PROC-SMS-003_Trabalho_em_Altura.pdf
CTR-00067,CT-2024-00067,FORN-0067,Serviços de Construção e Montagem,Fornecimento de bombas centrífugas e volumétricas para processo,10619759.61,BRL,2024-05-06,2025-05-06,Encerrado,Polo Petroquímico de Santa Grande,Logística e Suprimentos,CONTRATO_CT-2024-00067.pdf,PROC-SMS-004_Espaco_Confinado.pdf
CTR-00068,CT-2024-00068,FORN-0089,Serviços de Automação e Instrumentação,Montagem eletromecânica para expansão da unidade de PVC,3660178.07,BRL,2024-10-12,2025-01-10,Em Renovação,Polo Petroquímico de Santa Grande,Segurança e Meio Ambiente (SMS),CONTRATO_CT-2024-00068.pdf,PROC-LOG-001_Transporte_Produtos_Perigosos.pdf
CTR-00069,CT-2023-00069,FORN-0012,Fornecimento de Produtos Químicos,Fornecimento de filtros industriais para sistemas de ar e água,1487293.3,BRL,2023-01-31,2025-01-30,Ativo,Unidade Industrial Várzea Arlindo,Engenharia de Processos,CONTRATO_CT-2023-00069.pdf,PROC-SMS-005_Manuseio_Produtos_Quimicos.pdf
CTR-00070,CT-2021-00070,FORN-0092,Contratação de Serviços de Inspeção,Isolamento térmico de tubulações de vapor e linhas de processo,1954950.58,BRL,2021-02-15,2021-08-14,Ativo,Unidade Lagoa Branca,Engenharia de Processos,CONTRATO_CT-2021-00070.pdf,PROC-MNT-003_Gestao_Sobressalentes.pdf
CTR-00071,CT-2024-00071,FORN-0047,Contratação de Transporte e Logística,"Consultoria em segurança de processos (HAZOP, análise de riscos)",476336.57,BRL,2024-07-03,2026-07-03,Ativo,Unidade Industrial Várzea Arlindo,Planejamento e Controle de Manutenção (PCM),CONTRATO_CT-2024-00071.pdf,PROC-LOG-001_Transporte_Produtos_Perigosos.pdf
CTR-00072,CT-2022-00072,FORN-0009,Contratação de Serviços Ambientais,Limpeza química e hidrojateamento de permutadores e reatores,6600848.04,BRL,2022-04-21,2023-10-18,Ativo,Unidade Industrial Ribeirão das Águas,Projetos e Expansão,CONTRATO_CT-2022-00072.pdf,PROC-SMS-002_Bloqueio_Etiquetagem_LOTO.pdf
CTR-00073,CT-2021-00073,FORN-0041,Fornecimento de Materiais e Equipamentos,Serviço de soldagem especializada (TIG/MIG) em aços inox e ligas especiais,4395902.75,BRL,2021-12-06,2022-06-04,Em Aprovação,Unidade Industrial Ribeirão das Águas,Projetos e Expansão,CONTRATO_CT-2021-00073.pdf,PROC-AMB-001_Gestao_Residuos_Industriais.pdf
CTR-00074,CT-2022-00074,FORN-0082,Serviços de Calibração e Ensaios,Fornecimento de catalisadores Ziegler-Natta para produção de polipropileno,6664615.19,BRL,2022-10-26,2023-01-24,Ativo,Complexo Industrial de Monte Teodoro,Utilidades e Energia,CONTRATO_CT-2022-00074.pdf,PROC-QLD-001_Controle_Qualidade_Resinas.pdf
CTR-00075,CT-2021-00075,FORN-0039,Contratação de Serviços de Inspeção,Fornecimento de catalisadores Ziegler-Natta para produção de polipropileno,7167813.26,BRL,2021-12-09,2023-12-09,Ativo,Unidade Industrial Várzea Arlindo,Operações de Planta,CONTRATO_CT-2021-00075.pdf,PROC-AMB-002_Monitoramento_Emissoes.pdf
CTR-00076,CT-2023-00076,FORN-0033,Serviços de Engenharia e Projetos,Inspeção baseada em risco (IBR) de equipamentos estáticos,9293538.52,BRL,2023-07-04,2024-07-03,Em Aprovação,Polo Petroquímico de Fagundes Verde,Segurança e Meio Ambiente (SMS),CONTRATO_CT-2023-00076.pdf,PROC-SMS-002_Bloqueio_Etiquetagem_LOTO.pdf
CTR-00077,CT-2023-00077,FORN-0083,Contratação de Serviços de Inspeção,"Consultoria em segurança de processos (HAZOP, análise de riscos)",5787411.53,BRL,2023-09-11,2025-09-10,Encerrado,Complexo Industrial de Monte Teodoro,Segurança e Meio Ambiente (SMS),CONTRATO_CT-2023-00077.pdf,PROC-QLD-002_Especificacao_Tecnica_Materiais.pdf
CTR-00078,CT-2025-00078,FORN-0073,Contratação de Serviços de Manutenção,Manutenção preventiva e corretiva de trocadores de calor e torres de resfriamento,6186497.16,BRL,2025-04-26,2028-04-25,Ativo,Polo Petroquímico de Santa Grande,Manutenção Industrial,CONTRATO_CT-2025-00078.pdf,PROC-SMS-005_Manuseio_Produtos_Quimicos.pdf
