id_ordem,numero_ordem,id_contrato,id_fornecedor,tipo_ordem,descricao,valor_ordem,data_emissao,data_prevista_conclusao,data_conclusao,status,prioridade,unidade_industrial,area_solicitante
OS-00028,OS-2021-79045,CTR-00142,FORN-0071,Fornecimento,"Execução de consultoria em segurança de processos (hazop, análise de ris - Etapa 4",369626.49,2021-06-14,2021-06-28,,Em Andamento,Alta,Complexo Petroquímico de Córrego Fagundes (SUAPE),Logística e Suprimentos
OS-00029,OS-2023-42550,CTR-00200,FORN-0052,Serviço,Fornecimento parcial conforme contrato CT-2022-00200,131896.4,2023-01-29,2023-03-15,2023-03-12,Concluída,Média,Polo Petroquímico de Fagundes Verde,Qualidade e Laboratório
OS-00030,OS-2020-21136,CTR-00023,FORN-0074,Fornecimento,Mobilização de equipe para serviços de construção e montagem na Complexo Petroquímico de Córrego Fagundes (SUAPE),57510.22,2020-08-27,2020-09-03,,Em Andamento,Alta,Complexo Petroquímico de Córrego Fagundes (SUAPE),Logística e Suprimentos
OS-00031,OS-2023-45056,CTR-00798,FORN-0067,Emergencial,Execução de projeto e instalação de sistema de automação para planta de  - Etapa 1,391541.52,2023-06-29,2023-07-29,2023-08-18,Concluída,Baixa,Unidade Industrial Várzea Arlindo,Projetos e Expansão
OS-00032,OS-2022-10158,CTR-00080,FORN-0062,Fornecimento,Execução de fornecimento de filtros industriais para sistemas de ar e ág - Etapa 4,848110.46,2022-09-07,2022-11-06,2022-11-02,Concluída,Média,Complexo Petroquímico de Córrego Fagundes (SUAPE),Logística e Suprimentos
OS-00033,OS-2024-24733,CTR-00768,FORN-0056,Manutenção Preventiva,Mobilização de equipe para contratação de transporte e logística na Polo Petroquímico de Santa Grande,22047.32,2024-11-08,2024-11-22,2024-11-30,Concluída,Baixa,Polo Petroquímico de Santa Grande,Logística e Suprimentos
OS-00034,OS-2020-21115,CTR-00407,FORN-0093,Serviço,Medição mensal #6 - Serviços de Construção e Montagem,930837.43,2020-06-18,2020-07-18,2020-07-12,Concluída,Média,Polo Petroquímico de Fagundes Verde,Automação e Instrumentação
OS-00035,OS-2025-97460,CTR-00324,FORN-0054,Manutenção Corretiva,Medição mensal #3 - Contratação de Serviços de Inspeção,31901.88,2025-11-19,2026-01-18,2026-02-15,Concluída,Média,Complexo Industrial de Monte Teodoro,Manutenção Industrial
OS-00036,OS-2025-20009,CTR-00637,FORN-0070,Serviço,Mobilização de equipe para fornecimento de materiais e equipamentos na Unidade Industrial Ribeirão das Águas,111724.26,2025-01-11,2025-02-10,,Em Andamento,Crítica,Unidade Industrial Ribeirão das Águas,Automação e Instrumentação
OS-00037,OS-2021-24832,CTR-00277,FORN-0088,Emergencial,Atendimento emergencial - Automação e Instrumentação,992304.23,2021-11-22,2021-12-06,,Em Andamento,Crítica,Complexo Industrial de Monte Teodoro,Automação e Instrumentação
OS-00038,OS-2021-51853,CTR-00510,FORN-0024,Manutenção Preventiva,Atendimento emergencial - Segurança e Meio Ambiente (SMS),125849.46,2021-02-13,2021-02-20,2021-02-18,Concluída,Alta,Unidade Industrial Ribeirão das Águas,Segurança e Meio Ambiente (SMS)
OS-00039,OS-2022-64874,CTR-00746,FORN-0056,Emergencial,Atendimento emergencial - Planejamento e Controle de Manutenção (PCM),345647.15,2022-11-04,2023-02-02,2023-01-31,Concluída,Alta,Polo Petroquímico de Lagoa das Águas,Planejamento e Controle de Manutenção (PCM)
OS-00040,OS-2025-86148,CTR-00955,FORN-0094,Manutenção Preventiva,Medição mensal #2 - Serviços de Engenharia e Projetos,1370644.19,2025-06-29,2025-08-28,,Em Andamento,Alta,Polo Petroquímico de Lagoa das Águas,Segurança e Meio Ambiente (SMS)
OS-00041,OS-2022-83187,CTR-00399,FORN-0037,Manutenção Preventiva,Mobilização de equipe para serviços de calibração e ensaios na Complexo Petroquímico de Córrego Fagundes (SUAPE),59250.32,2022-01-16,2022-01-23,2022-02-05,Concluída,Baixa,Complexo Petroquímico de Córrego Fagundes (SUAPE),Logística e Suprimentos
OS-00042,OS-2022-70344,CTR-00119,FORN-0065,Fornecimento,Medição mensal #5 - Serviços de Engenharia e Projetos,868729.01,2022-04-29,2022-05-29,,Cancelada,Alta,Complexo Industrial de Monte Teodoro,Segurança e Meio Ambiente (SMS)
OS-00043,OS-2022-13453,CTR-00454,FORN-0050,Manutenção Preventiva,Fornecimento parcial conforme contrato CT-2022-00454,163398.51,2022-11-16,2022-11-30,2022-11-28,Concluída,Baixa,Polo Petroquímico de Lagoa das Águas,Operações de Planta
OS-00044,OS-2021-29252,CTR-00209,FORN-0018,Manutenção Corretiva,Mobilização de equipe para serviços de construção e montagem na Complexo Industrial de Monte Teodoro,1086221.28,2021-04-24,2021-06-23,2021-07-13,Concluída,Baixa,Complexo Industrial de Monte Teodoro,Segurança e Meio Ambiente (SMS)
OS-00045,OS-2020-33910,CTR-00457,FORN-0015,Manutenção Preventiva,Mobilização de equipe para serviços de engenharia e projetos na Complexo Petroquímico de Córrego Fagundes (SUAPE),1510758.4,2020-03-10,2020-03-17,,Em Andamento,Crítica,Complexo Petroquímico de Córrego Fagundes (SUAPE),Qualidade e Laboratório
OS-00046,OS-2022-94521,CTR-00948,FORN-0084,Serviço,Fornecimento parcial conforme contrato CT-2021-00948,63815.44,2022-06-06,2022-07-06,,Em Andamento,Baixa,Unidade Lagoa Branca,Operações de Planta
OS-00047,OS-2023-11424,CTR-00288,FORN-0036,Manutenção Preventiva,Atendimento emergencial - Engenharia de Processos,143671.14,2023-11-26,2024-02-24,2024-03-23,Concluída,Crítica,Complexo Petroquímico de Córrego Fagundes (SUAPE),Engenharia de Processos
OS-00048,OS-2025-50112,CTR-00815,FORN-0044,Fornecimento,Atendimento emergencial - Manutenção Industrial,225898.9,2025-08-05,2025-11-03,,Cancelada,Média,Complexo Petroquímico de Córrego Fagundes (SUAPE),Manutenção Industrial
OS-00049,OS-2025-37769,CTR-00498,FORN-0038,Manutenção Preventiva,Medição mensal #12 - Serviços de Construção e Montagem,245946.63,2025-08-09,2025-10-08,,Em Andamento,Baixa,Complexo Petroquímico de Córrego Fagundes (SUAPE),Projetos e Expansão
OS-00050,OS-2021-20119,CTR-00399,FORN-0037,Manutenção Preventiva,Atendimento emergencial - Logística e Suprimentos,651899.34,2021-08-10,2021-08-24,,Cancelada,Média,Complexo Petroquímico de Córrego Fagundes (SUAPE),Logística e Suprimentos
OS-00051,OS-2021-24208,CTR-00735,FORN-0025,Serviço,Execução de manutenção de compressores e sistemas de refrigeração indust - Etapa 2,689860.61,2021-04-05,2021-04-19,2021-05-02,Concluída,Média,Unidade Industrial Ribeirão das Águas,Utilidades e Energia
OS-00052,OS-2024-88264,CTR-00616,FORN-0098,Serviço,Fornecimento parcial conforme contrato CT-2024-00616,172673.03,2024-05-10,2024-05-24,2024-05-24,Concluída,Média,Unidade Lagoa Branca,Planejamento e Controle de Manutenção (PCM)
OS-00053,OS-2025-15881,CTR-00986,FORN-0065,Emergencial,Atendimento emergencial - Projetos e Expansão,336673.83,2025-07-24,2025-10-22,2025-10-27,Concluída,Baixa,Complexo Petroquímico de Córrego Fagundes (SUAPE),Projetos e Expansão
OS-00054,OS-2023-75564,CTR-00086,FORN-0075,Fornecimento,Fornecimento parcial conforme contrato CT-2022-00086,650602.81,2023-03-20,2023-03-27,2023-03-17,Concluída,Alta,Polo Petroquímico de Lagoa das Águas,Logística e Suprimentos
OS-00055,OS-2022-76005,CTR-00650,FORN-0020,Serviço,Medição mensal #12 - Contratação de Serviços de Manutenção,183376.34,2022-11-02,2023-01-31,,Pendente,Média,Unidade Industrial Várzea Arlindo,Logística e Suprimentos
OS-00056,OS-2021-31131,CTR-00041,FORN-0021,Fornecimento,Atendimento emergencial - Planejamento e Controle de Manutenção (PCM),273070.44,2021-01-24,2021-03-10,,Em Andamento,Baixa,Complexo Industrial de Monte Teodoro,Planejamento e Controle de Manutenção (PCM)
OS-00057,OS-2024-31108,CTR-00190,FORN-0065,Emergencial,Medição mensal #12 - Serviços de Automação e Instrumentação,416399.95,2024-04-21,2024-05-05,,Cancelada,Crítica,Unidade Industrial Ribeirão das Águas,Utilidades e Energia
OS-00058,OS-2022-91719,CTR-00930,FORN-0001,Manutenção Preventiva,Execução de inspeção e ensaios não destrutivos (end) em vasos de pressão - Etapa 3,41907.1,2022-10-24,2022-12-08,,Cancelada,Crítica,Complexo Petroquímico de Córrego Fagundes (SUAPE),Projetos e Expansão
OS-00059,OS-2021-92285,CTR-00705,FORN-0069,Manutenção Preventiva,Execução de manutenção de compressores e sistemas de refrigeração indust - Etapa 2,584021.59,2021-12-31,2022-01-14,,Em Andamento,Baixa,Polo Petroquímico de Fagundes Verde,Manutenção Industrial
OS-00060,OS-2024-22335,CTR-00273,FORN-0073,Manutenção Preventiva,Fornecimento parcial conforme contrato CT-2023-00273,943943.43,2024-03-06,2024-05-05,,Cancelada,Média,Polo Petroquímico de Santa Grande,Engenharia de Processos
OS-00061,OS-2022-33486,CTR-00540,FORN-0046,Manutenção Preventiva,Fornecimento parcial conforme contrato CT-2021-00540,191802.55,2022-02-15,2022-02-22,2022-03-20,Concluída,Alta,Polo Petroquímico de Fagundes Verde,Manutenção Industrial
OS-00062,OS-2023-57641,CTR-00474,FORN-0090,Manutenção Corretiva,Atendimento emergencial - Segurança e Meio Ambiente (SMS),1120010.82,2023-09-14,2023-12-13,2023-12-10,Concluída,Alta,Complexo Industrial de Monte Teodoro,Segurança e Meio Ambiente (SMS)
OS-00063,OS-2022-20943,CTR-00250,FORN-0004,Manutenção Preventiva,Medição mensal #6 - Contratação de Serviços Ambientais,1025815.38,2022-08-15,2022-09-14,,Em Andamento,Alta,Unidade Industrial Ribeirão das Águas,Projetos e Expansão
OS-00064,OS-2023-42088,CTR-00487,FORN-0071,Emergencial,Execução de transporte rodoviário de resinas termoplásticas em big bags  - Etapa 1,1711074.55,2023-10-08,2023-10-15,,Em Andamento,Média,Polo Petroquímico de Santa Grande,Utilidades e Energia
OS-00065,OS-2024-60885,CTR-00207,FORN-0067,Manutenção Preventiva,Execução de manutenção preventiva e corretiva de trocadores de calor e t - Etapa 1,521011.86,2024-12-26,2025-02-09,2025-03-07,Concluída,Média,Polo Petroquímico de Lagoa das Águas,Qualidade e Laboratório
OS-00066,OS-2023-21248,CTR-00834,FORN-0030,Fornecimento,Execução de isolamento térmico de tubulações de vapor e linhas de proces - Etapa 4,772469.97,2023-06-02,2023-08-31,,Em Andamento,Alta,Polo Petroquímico de Lagoa das Águas,Logística e Suprimentos
OS-00067,OS-2024-37870,CTR-00776,FORN-0021,Manutenção Preventiva,Execução de montagem eletromecânica para expansão da unidade de pvc - Etapa 5,59994.91,2024-01-08,2024-02-22,2024-02-16,Concluída,Média,Polo Petroquímico de Fagundes Verde,Engenharia de Processos
OS-00068,OS-2024-84475,CTR-00815,FORN-0044,Serviço,Medição mensal #6 - Serviços de Construção e Montagem,148739.25,2024-11-14,2025-01-13,2025-02-02,Concluída,Alta,Complexo Petroquímico de Córrego Fagundes (SUAPE),Manutenção Industrial
OS-00069,OS-2022-99610,CTR-00122,FORN-0096,Manutenção Preventiva,Fornecimento parcial conforme contrato CT-2022-00122,421348.51,2022-11-18,2023-01-02,,Em Andamento,Média,Polo Petroquímico de Santa Grande,Manutenção Industrial
OS-00070,OS-2022-69168,CTR-00322,FORN-0002,Manutenção Preventiva,Medição mensal #12 - Contratação de Serviços de Inspeção,509948.51,2022-02-13,2022-02-27,2022-03-06,Concluída,Média,Complexo Industrial de Monte Teodoro,Qualidade e Laboratório
OS-00071,OS-2021-36031,CTR-00481,FORN-0094,Manutenção Corretiva,Atendimento emergencial - Planejamento e Controle de Manutenção (PCM),239474.6,2021-03-24,2021-03-31,2021-04-17,Concluída,Alta,Unidade Industrial Várzea Arlindo,Planejamento e Controle de Manutenção (PCM)
OS-00072,OS-2022-84752,CTR-00847,FORN-0080,Manutenção Preventiva,"Execução de calibração de instrumentos de medição de vazão, pressão e te - Etapa 4",388932.11,2022-11-26,2023-02-24,,Cancelada,Alta,Polo Petroquímico de Lagoa das Águas,Planejamento e Controle de Manutenção (PCM)
OS-00073,OS-2023-97040,CTR-00360,FORN-0066,Manutenção Corretiva,Execução de projeto e instalação de sistema de automação para planta de  - Etapa 2,286915.77,2023-02-05,2023-05-06,,Pendente,Média,Complexo Industrial de Monte Teodoro,Projetos e Expansão
OS-00074,OS-2022-78248,CTR-00820,FORN-0008,Serviço,Atendimento emergencial - Engenharia de Processos,112237.22,2022-12-02,2023-01-16,,Cancelada,Média,Complexo Petroquímico de Córrego Fagundes (SUAPE),Engenharia de Processos
OS-00075,OS-2023-81576,CTR-00808,FORN-0044,Fornecimento,Medição mensal #7 - Serviços de Construção e Montagem,285137.8,2023-09-22,2023-11-21,2023-11-13,Concluída,Alta,Complexo Industrial de Monte Teodoro,Segurança e Meio Ambiente (SMS)
OS-00076,OS-2023-12122,CTR-00395,FORN-0067,Manutenção Corretiva,Fornecimento parcial conforme contrato CT-2023-00395,88316.13,2023-11-19,2023-12-03,2023-12-29,Concluída,Alta,Complexo Petroquímico de Córrego Fagundes (SUAPE),Segurança e Meio Ambiente (SMS)
OS-00077,OS-2021-56101,CTR-00243,FORN-0048,Manutenção Corretiva,Medição mensal #7 - Fornecimento de Materiais e Equipamentos,154192.52,2021-02-06,2021-03-23,,Pendente,Alta,Polo Petroquímico de Fagundes Verde,Engenharia de Processos
OS-00078,OS-2022-87973,CTR-00930,FORN-0001,Fornecimento,Medição mensal #9 - Fornecimento de Materiais e Equipamentos,103371.06,2022-10-21,2022-10-28,2022-11-16,Concluída,Alta,Complexo Petroquímico de Córrego Fagundes (SUAPE),Projetos e Expansão
OS-00079,OS-2024-91313,CTR-00692,FORN-0020,Serviço,Execução de serviços de andaime e acesso para paradas programadas de man - Etapa 3,648187.82,2024-02-07,2024-05-07,,Pendente,Baixa,Polo Petroquímico de Santa Grande,Engenharia de Processos
OS-00080,OS-2021-91766,CTR-00179,FORN-0013,Emergencial,"Execução de fornecimento de gases industriais (nitrogênio, oxigênio, hid - Etapa 1",60983.01,2021-04-14,2021-04-21,,Em Andamento,Crítica,Unidade Industrial Ribeirão das Águas,Qualidade e Laboratório
OS-00081,OS-2023-37770,CTR-00798,FORN-0067,Fornecimento,Atendimento emergencial - Projetos e Expansão,180335.83,2023-12-20,2024-02-18,,Cancelada,Alta,Unidade Industrial Várzea Arlindo,Projetos e Expansão
OS-00082,OS-2023-70810,CTR-00692,FORN-0020,Manutenção Preventiva,Atendimento emergencial - Engenharia de Processos,466498.05,2023-11-12,2023-11-26,,Cancelada,Baixa,Polo Petroquímico de Santa Grande,Engenharia de Processos
OS-00083,OS-2021-64357,CTR-00679,FORN-0013,Fornecimento,Execução de projeto e fabricação de vasos de pressão conforme nr-13 - Etapa 3,212640.07,2021-07-12,2021-09-10,2021-09-17,Concluída,Alta,Polo Petroquímico de Lagoa das Águas,Projetos e Expansão
OS-00084,OS-2022-88636,CTR-00063,FORN-0082,Manutenção Corretiva,Fornecimento parcial conforme contrato CT-2022-00063,697403.33,2022-11-23,2022-11-30,2022-12-13,Concluída,Média,Complexo Petroquímico de Córrego Fagundes (SUAPE),Qualidade e Laboratório
OS-00085,OS-2024-85740,CTR-00773,FORN-0061,Manutenção Preventiva,Mobilização de equipe para fornecimento de materiais e equipamentos na Unidade Industrial Várzea Arlindo,5656.57,2024-03-31,2024-05-30,,Em Andamento,Crítica,Unidade Industrial Várzea Arlindo,Planejamento e Controle de Manutenção (PCM)
OS-00086,OS-2024-26558,CTR-00712,FORN-0035,Emergencial,Execução de inspeção baseada em risco (ibr) de equipamentos estáticos - Etapa 2,62759.89,2024-02-03,2024-03-19,2024-04-11,Concluída,Crítica,Complexo Industrial de Monte Teodoro,Logística e Suprimentos
OS-00087,OS-2025-22223,CTR-00716,FORN-0041,Serviço,Execução de manutenção de compressores e sistemas de refrigeração indust - Etapa 3,471965.34,2025-11-27,2025-12-27,,Cancelada,Alta,Polo Petroquímico de Santa Grande,Utilidades e Energia
OS-00088,OS-2023-84946,CTR-00018,FORN-0054,Manutenção Preventiva,Execução de montagem eletromecânica para expansão da unidade de pvc - Etapa 5,224278.49,2023-04-16,2023-06-15,2023-06-06,Concluída,Crítica,Polo Petroquímico de Santa Grande,Qualidade e Laboratório
OS-00089,OS-2023-95527,CTR-00251,FORN-0032,Fornecimento,Fornecimento parcial conforme contrato CT-2023-00251,647932.75,2023-11-12,2024-02-10,,Pendente,Média,Polo Petroquímico de Lagoa das Águas,Operações de Planta
OS-00090,OS-2021-96410,CTR-00959,FORN-0090,Serviço,Fornecimento parcial conforme contrato CT-2021-00959,200428.97,2021-07-25,2021-10-23,,Cancelada,Baixa,Complexo Industrial de Monte Teodoro,Operações de Planta
OS-00091,OS-2024-70178,CTR-00274,FORN-0071,Emergencial,Execução de limpeza química e hidrojateamento de permutadores e reatores - Etapa 1,682560.55,2024-09-24,2024-10-01,,Pendente,Baixa,Complexo Petroquímico de Córrego Fagundes (SUAPE),Projetos e Expansão
OS-00092,OS-2023-61222,CTR-00270,FORN-0026,Serviço,Atendimento emergencial - Segurança e Meio Ambiente (SMS),101801.07,2023-12-22,2024-01-21,2024-01-16,Concluída,Baixa,Unidade Lagoa Branca,Segurança e Meio Ambiente (SMS)
OS-00093,OS-2022-51102,CTR-00746,FORN-0056,Manutenção Preventiva,Mobilização de equipe para fornecimento de materiais e equipamentos na Polo Petroquímico de Lagoa das Águas,58457.11,2022-02-06,2022-03-23,,Pendente,Média,Polo Petroquímico de Lagoa das Águas,Planejamento e Controle de Manutenção (PCM)
OS-00094,OS-2024-25362,CTR-00543,FORN-0068,Manutenção Corretiva,Fornecimento parcial conforme contrato CT-2024-00543,557996.84,2024-05-31,2024-06-14,,Pendente,Alta,Polo Petroquímico de Santa Grande,Qualidade e Laboratório
OS-00095,OS-2021-89444,CTR-00976,FORN-0087,Serviço,Medição mensal #4 - Serviços de Construção e Montagem,1083461.39,2021-02-23,2021-03-09,,Em Andamento,Baixa,Complexo Industrial de Monte Teodoro,Projetos e Expansão
OS-00096,OS-2022-52931,CTR-00920,FORN-0059,Fornecimento,Mobilização de equipe para contratação de serviços ambientais na Unidade Industrial Ribeirão das Águas,149688.79,2022-08-02,2022-08-16,2022-08-29,Concluída,Baixa,Unidade Industrial Ribeirão das Águas,Engenharia de Processos
OS-00097,OS-2020-82285,CTR-00247,FORN-0064,Manutenção Corretiva,Atendimento emergencial - Manutenção Industrial,222381.34,2020-11-12,2020-12-12,,Em Andamento,Crítica,Unidade Industrial Ribeirão das Águas,Manutenção Industrial
OS-00098,OS-2021-35936,CTR-00887,FORN-0076,Manutenção Corretiva,Atendimento emergencial - Logística e Suprimentos,2068574.32,2021-09-28,2021-11-27,,Em Andamento,Baixa,Unidade Industrial Ribeirão das Águas,Logística e Suprimentos
OS-00099,OS-2022-88162,CTR-00573,FORN-0074,Manutenção Corretiva,Fornecimento parcial conforme contrato CT-2022-00573,146763.88,2022-12-09,2022-12-23,,Pendente,Alta,Polo Petroquímico de Lagoa das Águas,Automação e Instrumentação
OS-00100,OS-2021-92929,CTR-00214,FORN-0038,Serviço,Atendimento emergencial - Utilidades e Energia,153236.56,2021-06-24,2021-08-08,,Em Andamento,Média,Unidade Industrial Ribeirão das Águas,Utilidades e Energia
OS-00101,OS-2022-79533,CTR-00064,FORN-0078,Manutenção Corretiva,Atendimento emergencial - Engenharia de Processos,200861.04,2022-01-14,2022-02-13,,Em Andamento,Baixa,Complexo Industrial de Monte Teodoro,Engenharia de Processos
OS-00102,OS-2022-19521,CTR-00224,FORN-0092,Fornecimento,Fornecimento parcial conforme contrato CT-2022-00224,353989.02,2022-10-21,2022-11-20,,Em Andamento,Média,Polo Petroquímico de Santa Grande,Planejamento e Controle de Manutenção (PCM)
OS-00103,OS-2023-70997,CTR-00275,FORN-0039,Emergencial,Fornecimento parcial conforme contrato CT-2023-00275,426744.46,2023-08-22,2023-08-29,2023-09-08,Concluída,Média,Polo Petroquímico de Lagoa das Águas,Projetos e Expansão
OS-00104,OS-2023-83525,CTR-00129,FORN-0032,Manutenção Corretiva,Medição mensal #2 - Contratação de Serviços de Manutenção,240400.36,2023-07-26,2023-08-25,,Em Andamento,Crítica,Unidade Industrial Ribeirão das Águas,Operações de Planta
OS-00105,OS-2021-51958,CTR-00148,FORN-0069,Fornecimento,Mobilização de equipe para contratação de serviços ambientais na Complexo Petroquímico de Córrego Fagundes (SUAPE),446588.99,2021-05-27,2021-08-25,,Em Andamento,Baixa,Complexo Petroquímico de Córrego Fagundes (SUAPE),Segurança e Meio Ambiente (SMS)
